X,Y,TOWNNAME,LOCATOR,POP,POPAFFECTE,PRIMARYSCH,LONGITUDE,LATITUDE,ISCENTER,ENTRYDATE,OWNERMAC,SOURCETHM,icon_url
20.4,-9.65,Saurimo,13/1/1/1,387060.0000,0.0000,"0",20.4000,-9.6500,Province,2004-11-02 00:51:10.000,CN,Cidade.shp,./0.png
19.917,-11.783,Luena,15/1/1/222,565020.0000,0.0000,"0",19.9170,-11.7830,Province,2004-11-02 01:14:09.000,CN,Cidade.shp,./0.png
14.25,-6.267,Mbanza Kongo,18/1/1/1,394822.0000,0.0000,"0",14.2500,-6.2670,Province,2004-11-02 02:01:09.000,CN,Cidade.shp,./0.png
20.75,-8.417,Lukapa,12/1/1/1,770252.0000,0.0000,"0",20.7500,-8.4170,Province,2004-11-02 00:49:03.000,CN,Cidade.shp,./0.png
13.667,-8.583,Caxito,1/1/1/1,351544.0000,0.0000,"0",13.6670,-8.5830,Province,2004-11-01 10:59:39.000,CN,Cidade.shp,./0.png
16.933,-12.383,Kuito,3/1/1/1,1143709.0000,0.0000,"0",16.9330,-12.3830,Province,2004-11-01 23:28:26.000,CN,Cidade.shp,./0.png
12.1911720186326,-5.56692057731786,Cabinda,,441059.0000,0.0000,"0",0.0000,0.0000,Province,,,Cidade.shp,./0.png
15.05639,-7.61575,Uige,,1101199.0000,0.0000,"0",15.0564,-7.6158,Province,,,New.shp,./0.png
14.91069,-9.30328,Ndalatando,,376966.0000,0.0000,"0",14.9107,-9.3033,Province,,,New.shp,./0.png
13.85556,-11.23611,Sumbe,,1353828.0000,0.0000,"0",13.8556,-11.2361,Province,,,New.shp,./0.png
16.35169,-9.55022,Malanje,,745641.0000,0.0000,"0",16.3517,-9.5502,Province,,,New.shp,./0.png
13.40111,-12.57908,Benguela,,1985415.0000,0.0000,"0",13.4011,-12.5791,Province,,,New.shp,./0.png
17.68933,-14.66219,Menongue,,394400.0000,0.0000,"0",17.6893,-14.6622,Province,,,New.shp,./0.png
12.14067,-15.19772,Namibe,,367966.0000,0.0000,"0",12.1407,-15.1977,Province,,,New.shp,./0.png
13.48972,-14.91861,Lubango,,2097961.0000,0.0000,"0",13.4897,-14.9186,Province,,,New.shp,./0.png
15.72536,-17.06725,Ondjiva,,648374.0000,0.0000,"0",15.7254,-17.0673,Province,,,New.shp,./0.png
15.739496237906,-12.7770569488652,Huambo,,,,,,,,,,,./0.png
